DATE,TTLCONS,conspendavgperyear
1/1/2006,1195642,1164342.5
2/1/2006,1205639,1164342.5
3/1/2006,1205169,1164342.5
4/1/2006,1193296,1164342.5
5/1/2006,1180581,1164342.5
6/1/2006,1172128,1164342.5
7/1/2006,1157926,1164342.5
8/1/2006,1145907,1164342.5
9/1/2006,1135753,1164342.5
10/1/2006,1122914,1164342.5
11/1/2006,1121749,1164342.5
12/1/2006,1135406,1164342.5
1/1/2007,1137917,1147741.667
2/1/2007,1139032,1147741.667
3/1/2007,1146624,1147741.667
4/1/2007,1150590,1147741.667
5/1/2007,1161581,1147741.667
6/1/2007,1163511,1147741.667
7/1/2007,1155448,1147741.667
8/1/2007,1159077,1147741.667
9/1/2007,1158580,1147741.667
10/1/2007,1152491,1147741.667
11/1/2007,1132908,1147741.667
12/1/2007,1115141,1147741.667
1/1/2008,1111347,1075922.917
2/1/2008,1096648,1075922.917
3/1/2008,1103446,1075922.917
4/1/2008,1101252,1075922.917
5/1/2008,1101547,1075922.917
6/1/2008,1090098,1075922.917
7/1/2008,1086952,1075922.917
8/1/2008,1070075,1075922.917
9/1/2008,1059579,1075922.917
10/1/2008,1055959,1075922.917
11/1/2008,1035033,1075922.917
12/1/2008,999139,1075922.917
1/1/2009,975099,912243
2/1/2009,971708,912243
3/1/2009,963793,912243
4/1/2009,932482,912243
5/1/2009,920020,912243
6/1/2009,912530,912243
7/1/2009,911438,912243
8/1/2009,900112,912243
9/1/2009,887241,912243
10/1/2009,871391,912243
11/1/2009,858493,912243
12/1/2009,842609,912243
1/1/2010,822114,813534.2727
2/1/2010,814885,813534.2727
3/1/2010,821849,813534.2727
4/1/2010,829664,813534.2727
5/1/2010,823447,813534.2727
6/1/2010,821943,813534.2727
7/1/2010,799694,813534.2727
8/1/2010,802030,813534.2727
9/1/2010,807728,813534.2727
10/1/2010,801372,813534.2727
11/1/2010,804151,813534.2727
